Trialid,expTime,gambleDelay,gambleRT,outcomeRT,response,standardGamble,trialNumber,uniqueid
5,,0,0,0,fail,5,36,245
1,,6269.153481,0,602,success,1,37,245
1,,1016.691665,0,570,success,1,38,245
21,,6048.088479,0,483,success,1,39,245
22,,5685.658509,0,543,success,2,40,245
34,,2981.905022,548,0,gamble,4,41,245
36,,856.6157275,0,369,success,6,42,245
5,,3015.661265,0,560,success,5,43,245
31,,1092.63506,0,625,success,1,44,245
21,,2984.179475,0,528,success,1,45,245
36,,6258.631673,0,0,earlyFail,6,46,245
34,,6200.427698,0,435,success,4,47,245
31,,4626.6316,841,0,gamble,1,48,245
24,,5765.280273,0,666,success,4,49,245
22,,3158.522856,0,601,success,2,50,245
31,,6436.949732,0,547,success,1,51,245
25,,4652.411724,0,612,success,5,52,245
3,,3128.980532,0,0,fail,3,53,245
35,,959.4446638,0,519,success,5,54,245
21,,5803.366922,0,562,success,1,55,245
3,,6149.966211,0,593,success,3,56,245
36,,5842.090459,0,599,success,6,57,245
86,,2156.313986,0,797,success,6,58,245
22,,1025.15996,0,645,success,2,59,245
24,,2802.744318,0,542,success,4,60,245
32,,5165.493908,0,550,success,2,61,245
35,,5780.428542,0,0,fail,5,62,245
6,,3087.803799,0,659,success,6,63,245
26,,6250.691878,0,730,success,6,64,245
26,,2989.096056,0,679,success,6,65,245
5,,985.4349475,0,0,fail,5,66,245
36,,6031.834517,0,535,success,6,67,245
6,,0,0,631,success,6,68,245
25,,4979.287124,0,617,success,5,69,245
2,,4081.851582,0,605,success,2,70,245
26,,5023.255273,0,654,success,6,71,245
2,,960.6066985,0,651,success,2,72,245
1,,5808.670077,0,0,fail,1,73,245
23,,1146.067386,0,0,fail,3,74,245
6,,5869.930051,0,595,success,6,75,245
25,,3059.043811,0,569,success,5,76,245
23,,5720.750341,0,678,success,3,77,245
35,,6368.473624,0,599,success,5,78,245
23,,6226.594078,0,585,success,3,79,245
2,,5838.665553,0,685,success,2,80,245
32,,5032.554797,0,718,success,2,81,245
4,,3120.044183,0,607,success,4,82,245
5,,5796.531214,0,570,success,5,83,245
32,,4635.043526,0,0,fail,2,84,245
31,,4919.627469,0,426,success,1,85,245
4,,5896.765098,0,546,success,4,86,245
