,BonusAmount,Trialid,action,comments,design,difficulty,engagement,expTime,gambleDelay,gambleRT,gender,ignoreRT,indexOf,interest,length,outcomeRT,pbGamble,phase,recordedPresses,recordedTimes,response,standardGamble,status,switchTimes,template,templates,trialNumber,understand,uniqueid,viewTime
6706,,34,,,,,,,2768.922046,0,,,,,,130,36,,",jkey,fkey,jkey,fkey,fkey,jkey,fkey,jkey,fkey",",686,1389,2037,2704,3112,4000,4740,5493,6215",success,4,,",581,14,136,296,312,73,194,51",,,127,,A1WISFBL3J5Z12:3R9WASFE2ZGF2X094WHT3NJZNMSFZH,
6707,,25,,,,,,,848.1277694,0,,,,,,79,12,,",fkey,jkey,fkey,jkey,fkey,fkey,jkey,fkey,jkey",",505,1494,2160,2791,3478,3934,4565,5328,5957",success,5,,",349,331,43,95,410,99,60,65",,,128,,A1WISFBL3J5Z12:3R9WASFE2ZGF2X094WHT3NJZNMSFZH,
6708,,28,,,,,,,1304.103253,0,,,,,,141,12,,",fkey,jkey,fkey,jkey,jkey,fkey,fkey,jkey,fkey,jkey,fkey",",546,893,1594,2251,2686,3242,3711,4380,5118,5794,6496",success,8,,",724,135,417,388,143,46,51,56",,,129,,A1WISFBL3J5Z12:3R9WASFE2ZGF2X094WHT3NJZNMSFZH,
6709,,39,,,,,,,1996.925909,792,,,,,,88,24,,",fkey,jkey,fkey,fkey,jkey,fkey,space,jkey,fkey,jkey,fkey",",557,858,1500,1871,2464,3169,3653,3979,4626,5280,6050",gamble,9,,",734,315,6,53,181,11,129,80",,,130,,A1WISFBL3J5Z12:3R9WASFE2ZGF2X094WHT3NJZNMSFZH,
6710,,22,,,,,,,2913.433822,0,,,,,,133,36,,",jkey,fkey,fkey,jkey,fkey,jkey,fkey,jkey,fkey",",793,1415,1834,2495,3208,3847,4600,5219,6002",success,2,,",641,376,105,24,68,75,53,97",,,131,,A1WISFBL3J5Z12:3R9WASFE2ZGF2X094WHT3NJZNMSFZH,
6711,,25,,,,,,,2692.178018,0,,,,,,128,36,,",fkey,jkey,fkey,jkey,fkey,jkey,fkey,jkey",",458,1164,1968,2570,3354,3973,4772,5500",success,5,,",345,87,127,29,70,129,45,183",,,132,,A1WISFBL3J5Z12:3R9WASFE2ZGF2X094WHT3NJZNMSFZH,
6712,,2,,,,,,,2518.413715,0,,,,,,235,36,,",fkey,jkey,fkey,jkey,fkey,jkey,fkey,fkey,jkey",",505,1179,1907,2501,3248,3804,4461,4922,5585",success,2,,",339,37,71,40,12,10,425,93",,,133,,A1WISFBL3J5Z12:3R9WASFE2ZGF2X094WHT3NJZNMSFZH,
6713,,29,,,,,,,2381.169177,0,,,,,,178,36,,",fkey,jkey,fkey,jkey,fkey,jkey,fkey,jkey,jkey",",564,1180,1948,3037,3812,4399,5180,5763,6100",success,9,,",348,80,57,449,116,108,37,351",,,134,,A1WISFBL3J5Z12:3R9WASFE2ZGF2X094WHT3NJZNMSFZH,
6714,,5,,,,,,,678.9626132,0,,,,,,103,12,,",fkey,jkey,fkey,fkey,jkey,fkey,jkey,fkey,jkey",",541,1565,2098,2458,3127,3896,4568,5279,5920",success,5,,",393,317,273,116,82,76,27,78",,,135,,A1WISFBL3J5Z12:3R9WASFE2ZGF2X094WHT3NJZNMSFZH,
6715,,1,,,,,,,2839.909353,0,,,,,,154,36,,",fkey,jkey,jkey,fkey,jkey,fkey,jkey,fkey,jkey",",556,1164,1626,2431,4330,4982,5649,6428,7056",success,1,,",386,441,141,1278,42,74,84,50",,,136,,A1WISFBL3J5Z12:3R9WASFE2ZGF2X094WHT3NJZNMSFZH,
6716,,32,,,,,,,1203.505812,0,,,,,,190,12,,",fkey,jkey,fkey,jkey,jkey,fkey,jkey,fkey,jkey",",606,1292,2082,2646,3040,3749,4364,5144,5765",success,2,,",426,104,104,352,61,90,41,57",,,137,,A1WISFBL3J5Z12:3R9WASFE2ZGF2X094WHT3NJZNMSFZH,
6717,,39,,,,,,,984.8541028,784,,,,,,94,12,,",fkey,jkey,fkey,space,jkey,fkey,jkey,fkey,jkey",",463,1011,1775,2142,2465,3149,3730,4467,5157",gamble,9,,",254,37,41,102,11,28,54,113",,,138,,A1WISFBL3J5Z12:3R9WASFE2ZGF2X094WHT3NJZNMSFZH,
6718,,22,,,,,,,2505.815281,0,,,,,,160,36,,",fkey,jkey,fkey,fkey,jkey,fkey,jkey",",640,1724,2375,3740,4408,5097,5744",success,2,,",433,434,61,118,5,62,2,101",,,139,,A1WISFBL3J5Z12:3R9WASFE2ZGF2X094WHT3NJZNMSFZH,
6719,,4,,,,,,,3809.287725,0,,,,,,308,59,,",fkey,jkey,fkey,jkey,fkey,jkey,fkey,jkey",",492,1200,1918,2553,3354,3956,4796,5392",success,4,,",314,113,86,34,95,40,133,74",,,140,,A1WISFBL3J5Z12:3R9WASFE2ZGF2X094WHT3NJZNMSFZH,
6720,,24,,,,,,,2363.776458,0,,,,,,164,36,,",fkey,jkey,fkey,jkey,fkey,jkey,fkey,jkey,fkey",",451,751,1536,2309,2948,3541,4361,4980,5831",success,4,,",597,135,140,44,1,106,68,154",,,141,,A1WISFBL3J5Z12:3R9WASFE2ZGF2X094WHT3NJZNMSFZH,
6721,,25,,,,,,,3629.148057,0,,,,,,136,60,,",fkey,jkey,fkey,jkey,fkey,jkey,jkey,fkey,jkey",",548,1260,2076,2625,3370,3954,4327,5074,5714",success,5,,",420,94,53,49,57,354,105,6",,,142,,A1WISFBL3J5Z12:3R9WASFE2ZGF2X094WHT3NJZNMSFZH,
6722,,21,,,,,,,4024.331401,1438,,,,,,1.55373E+12,60,,",fkey,jkey,fkey,jkey,fkey,jkey,fkey,jkey,fkey",",462,852,1550,2199,2881,3494,4255,4903,5601",gamble,1,,",665,71,40,50,27,95,55,36",,,143,,A1WISFBL3J5Z12:3R9WASFE2ZGF2X094WHT3NJZNMSFZH,
6723,,35,,,,,,,2926.094786,1325,,,,,,189,36,,",fkey,jkey,jkey,fkey,jkey,fkey,fkey,space,fkey,jkey,fkey,fkey,jkey",",835,1443,1853,2513,3140,3907,4765,5026,5489,5811,6394,6895,7523",gamble,5,,",621,439,26,24,104,1256,382,84",,,144,,A1WISFBL3J5Z12:3R9WASFE2ZGF2X094WHT3NJZNMSFZH,
6724,,1,,,,,,,1452.985741,0,,,,,,280,24,,",fkey,jkey,fkey,fkey,fkey,jkey,fkey,jkey,fkey",",504,791,1534,2886,3269,3846,4710,5383,6213",success,1,,",662,88,84,359,46,191,57,125",,,145,,A1WISFBL3J5Z12:3R9WASFE2ZGF2X094WHT3NJZNMSFZH,
6725,,1,,,,,,,1678.193721,0,,,,,,258,24,,",fkey,jkey,fkey,jkey,fkey,jkey,fkey,jkey,fkey",",551,857,1522,2217,2984,3574,4327,4927,5701",success,1,,",674,63,72,59,63,61,13,94",,,146,,A1WISFBL3J5Z12:3R9WASFE2ZGF2X094WHT3NJZNMSFZH,
6726,,8,,,,,,1593354,1043.914662,0,,,,,,121,12,,",jkey,fkey,jkey,fkey,jkey,fkey,jkey,fkey",",364,1095,1776,2490,3068,3841,4531,5303",success,8,,",238,29,138,30,24,95,67,129",,,147,,A1WISFBL3J5Z12:3R9WASFE2ZGF2X094WHT3NJZNMSFZH,
6727,,,,,,,,,,,,,,,,,,postquestionnaire,,,,,begin,,,,,,A1WISFBL3J5Z12:3R9WASFE2ZGF2X094WHT3NJZNMSFZH,
6728,1,,,,,,,,,,,,,,,,,postquestionnaire,,,,,submit,,,,,,A1WISFBL3J5Z12:3R9WASFE2ZGF2X094WHT3NJZNMSFZH,
6729,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,A1WISFBL3J5Z12:3R9WASFE2ZGF2X094WHT3NJZNMSFZH,
6730,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,A1WISFBL3J5Z12:3R9WASFE2ZGF2X094WHT3NJZNMSFZH,
6731,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,A1WISFBL3J5Z12:3R9WASFE2ZGF2X094WHT3NJZNMSFZH,
6732,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,A1WISFBL3J5Z12:3R9WASFE2ZGF2X094WHT3NJZNMSFZH,
6733,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,A1WISFBL3J5Z12:3R9WASFE2ZGF2X094WHT3NJZNMSFZH,
