Trialid,expTime,gambleDelay,gambleRT,outcomeRT,response,standardGamble,trialNumber,uniqueid
26,,6137.230905,0,0,earlyFail,6,59,235
25,,1106.990564,0,0,earlyFail,5,60,235
23,,5983.987594,0,0,earlyFail,3,61,235
33,,3071.525551,0,0,earlyFail,3,62,235
32,,1075.792852,0,0,earlyFail,2,63,235
4,,2966.697838,0,0,earlyFail,4,64,235
34,,1002.056954,0,0,earlyFail,4,65,235
33,,5030.436621,0,0,earlyFail,3,66,235
1,,0,0,0,earlyFail,1,67,235
75,,2033.196413,0,0,earlyFail,5,68,235
33,,5331.52176,0,0,earlyFail,3,69,235
25,,2882.447564,0,0,earlyFail,5,70,235
6,,0,0,0,earlyFail,6,71,235
31,,916.4034859,0,0,earlyFail,1,72,235
23,,900.6084973,0,0,fail,3,73,235
24,,6235.40633,815,0,gamble,4,74,235
25,,4753.102159,0,0,earlyFail,5,75,235
2,,0,0,0,earlyFail,2,76,235
35,,5736.560661,0,0,earlyFail,5,77,235
2,,2995.312302,0,0,earlyFail,2,78,235
24,,839.3718645,0,0,earlyFail,4,79,235
4,,6205.857903,0,0,earlyFail,4,80,235
35,,2962.739621,0,0,earlyFail,5,81,235
26,,2908.179507,0,326,success,6,1,236
3,,5912.624466,0,324,success,3,2,236
6,,0,0,242,success,6,3,236
1,,3000.063645,0,308,success,1,4,236
5,,6364.763649,0,221,success,5,5,236
23,,6269.269726,0,313,success,3,6,236
5,,959.9769614,0,327,success,5,7,236
86,,2000.820673,0,321,success,6,8,236
33,,3090.113892,459,0,gamble,3,9,236
2,,3818.365391,0,339,success,2,10,236
2,,0,0,323,success,2,11,236
3,,2887.37271,0,254,success,3,12,236
23,,2901.200379,0,314,success,3,13,236
35,,5811.923281,456,0,gamble,5,14,236
1,,5949.171335,0,330,success,1,15,236
24,,6202.224725,0,132,success,4,16,236
6,,6113.008155,0,305,success,6,17,236
23,,6004.068055,0,251,success,3,18,236
33,,900.4275413,0,0,earlyFail,3,19,236
5,,5704.823157,0,273,success,5,20,236
22,,5929.744715,0,241,success,2,21,236
6,,6288.625302,0,243,success,6,22,236
4,,6049.787439,0,290,success,4,23,236
22,,5787.180352,0,252,success,2,24,236
6,,5685.225353,0,263,success,6,25,236
34,,5686.075055,0,144,success,4,26,236
5,,2980.880909,0,330,success,5,27,236
24,,2968.207429,0,300,success,4,28,236
31,,770.8766383,0,237,success,1,29,236
35,,6297.888582,514,0,gamble,5,30,236
31,,4982.851613,0,288,success,1,31,236
21,,1059.944693,0,258,success,1,32,236
2,,6111.393983,0,246,success,2,33,236
25,,6251.844246,0,298,success,5,34,236
4,,6307.882174,0,294,success,4,35,236
21,,5953.425185,0,319,success,1,36,236
35,,5953.726432,498,0,gamble,5,37,236
34,,6015.818165,397,0,gamble,4,38,236
32,,5070.593679,0,308,success,2,39,236
34,,6141.330718,0,219,success,4,40,236
36,,3025.129401,506,0,gamble,6,41,236
1,,0,0,249,success,1,42,236
3,,0,0,307,success,3,43,236
3,,5863.85376,0,249,success,3,44,236
24,,5741.652977,0,229,success,4,45,236
26,,1018.139706,0,329,success,6,46,236
35,,1144.461615,0,341,success,5,47,236
1,,0,0,266,success,1,48,236
1,,1077.556539,0,194,success,1,49,236
6,,1005.818006,0,350,success,6,50,236
33,,4741.692901,463,0,gamble,3,51,236
32,,1108.570277,0,0,earlyFail,2,52,236
4,,0,0,235,success,4,53,236
21,,6226.934008,0,189,success,1,54,236
22,,6231.281153,0,253,success,2,55,236
6,,0,0,236,success,6,56,236
34,,1030.994168,0,256,success,4,57,236
26,,6389.281008,0,174,success,6,58,236
35,,2923.686605,369,0,gamble,5,59,236
5,,0,0,300,success,5,60,236
4,,5690.599074,0,270,success,4,61,236
26,,4764.647524,0,268,success,6,62,236
36,,946.174437,472,0,gamble,6,63,236
24,,1012.779819,0,180,success,4,64,236
2,,6158.825469,0,231,success,2,65,236
1,,6199.347968,0,171,success,1,66,236
2,,5676.90078,0,275,success,2,67,236
3,,6430.822337,0,205,success,3,68,236
22,,2941.932534,0,282,success,2,69,236
75,,2073.168944,0,183,success,5,70,236
31,,6349.28562,0,255,success,1,71,236
22,,1007.86878,0,216,success,2,72,236
1,,5785.598051,0,262,success,1,73,236
25,,4749.940007,0,138,success,5,74,236
31,,4803.006412,409,0,gamble,1,75,236
32,,2952.76519,0,208,success,2,76,236
26,,5014.350239,0,221,success,6,77,236
