Trialid,expTime,gambleDelay,gambleRT,outcomeRT,response,standardGamble,trialNumber,uniqueid
26,,3072.586836,0,0,earlyFail,6,1,207
2,,0,0,0,earlyFail,2,2,207
5,,0,0,0,earlyFail,5,3,207
26,,1016.523461,0,386,success,6,4,207
4,,2925.008095,0,176,success,4,5,207
32,,5260.244612,0,193,success,2,6,207
22,,5600,0,93,success,2,7,207
35,,5600,0,178,success,5,8,207
1,,5600,0,61,success,1,9,207
33,,4720.147437,0,196,success,3,10,207
5,,0,0,218,success,5,11,207
21,,988.2498608,0,165,success,1,12,207
26,,4778.764462,0,140,success,6,13,207
2,,5600,563,0,gamble,2,14,207
5,,2852.735594,0,0,earlyFail,5,15,207
24,,1027.088198,0,0,earlyFail,4,16,207
32,,1008.649535,590,0,gamble,2,17,207
24,,5600,0,0,earlyFail,4,18,207
86,,2035.530685,0,0,earlyFail,6,19,207
3,,943.3679277,0,0,earlyFail,3,20,207
6,,5600,0,0,earlyFail,6,21,207
34,,5600,0,175,success,4,22,207
32,,4663.304675,474,0,gamble,2,23,207
4,,5600,487,0,gamble,4,24,207
4,,5600,0,0,earlyFail,4,25,207
6,,0,0,104,success,6,26,207
3,,0,0,174,success,3,27,207
26,,5123.295798,500,0,gamble,6,28,207
32,,2925.740486,490,0,gamble,2,29,207
31,,5180.476148,0,0,earlyFail,1,30,207
31,,1045.640433,568,0,gamble,1,31,207
3,,0,0,66,success,3,32,207
5,,5600,508,0,gamble,5,33,207
33,,2896.588977,623,0,gamble,3,34,207
24,,3002.96589,585,0,gamble,4,35,207
31,,5600,539,0,gamble,1,36,207
3,,5600,528,0,gamble,3,37,207
2,,994.9736369,657,0,gamble,2,38,207
26,,5600,0,0,earlyFail,6,39,207
3,,5600,481,0,gamble,3,40,207
2,,4035.070476,688,0,gamble,2,41,207
23,,1088.716582,0,150,success,3,42,207
34,,5600,507,0,gamble,4,43,207
24,,5600,608,0,gamble,4,44,207
23,,2991.887752,559,0,gamble,3,45,207
25,,5002.893359,0,241,success,5,46,207
34,,1043.475111,582,0,gamble,4,47,207
6,,5600,549,0,gamble,6,48,207
2,,5600,487,0,gamble,2,49,207
75,,1929.035008,0,104,success,5,50,207
36,,932.0213288,0,42,success,6,51,207
6,,5600,555,0,gamble,6,52,207
6,,964.1048285,0,0,earlyFail,6,53,207
25,,4702.471659,505,0,gamble,5,54,207
22,,3001.585317,603,0,gamble,2,55,207
21,,5600,512,0,gamble,1,56,207
25,,2877.324734,557,0,gamble,5,57,207
35,,2932.177192,521,0,gamble,5,58,207
25,,1087.043284,622,0,gamble,5,59,207
33,,891.3527649,559,0,gamble,3,60,207
2,,5600,554,0,gamble,2,61,207
24,,5600,538,0,gamble,4,62,207
4,,5600,0,315,success,4,1,208
36,,5600,695,0,gamble,6,2,208
4,,5600,0,357,success,4,3,208
22,,3027.133199,0,347,success,2,4,208
34,,3012.834937,682,0,gamble,4,5,208
36,,1053.125491,682,0,gamble,6,6,208
36,,5600,514,0,gamble,6,7,208
26,,2903.40293,0,370,success,6,8,208
4,,911.9520008,417,0,gamble,4,9,208
22,,5600,0,375,success,2,10,208
6,,0,0,393,success,6,11,208
35,,5600,750,0,gamble,5,12,208
33,,5035.753259,616,0,gamble,3,13,208
4,,0,0,387,success,4,14,208
86,,2152.104553,0,360,success,6,15,208
21,,5600,0,401,success,1,16,208
25,,3134.47402,0,416,success,5,17,208
32,,954.0963426,794,0,gamble,2,18,208
24,,5600,0,436,success,4,19,208
24,,1169.615876,0,797,success,4,20,208
24,,5600,0,374,success,4,21,208
21,,1031.604367,481,0,gamble,1,22,208
21,,5600,0,380,success,1,23,208
23,,943.3175125,0,0,earlyFail,3,24,208
25,,4682.798592,0,383,success,5,25,208
6,,5600,0,648,success,6,26,208
26,,1115.627251,0,389,success,6,27,208
3,,2889.623181,743,0,gamble,3,28,208
5,,5600,0,426,success,5,29,208
35,,5600,723,0,gamble,5,30,208
33,,2876.171238,757,0,gamble,3,31,208
4,,5600,0,508,success,4,32,208
23,,5600,0,0,fail,3,33,208
4,,0,0,411,success,4,34,208
26,,4764.179605,0,461,success,6,35,208
5,,0,0,436,success,5,36,208
35,,5600,798,0,gamble,5,37,208
22,,899.616169,0,477,success,2,38,208
22,,5600,0,505,success,2,39,208
4,,3119.998799,495,0,gamble,4,40,208
32,,5227.734233,795,0,gamble,2,41,208
24,,3061.272308,0,0,fail,4,42,208
34,,938.2455577,0,0,earlyFail,4,43,208
2,,5600,0,428,success,2,44,208
2,,964.7480604,518,0,gamble,2,45,208
2,,5600,678,0,gamble,2,46,208
1,,5600,0,571,success,1,47,208
36,,5600,763,0,gamble,6,48,208
1,,0,0,476,success,1,49,208
5,,0,0,423,success,5,50,208
33,,1076.758215,875,0,gamble,3,51,208
25,,5600,0,374,success,5,52,208
1,,5600,496,0,gamble,1,53,208
6,,2921.054258,751,0,gamble,6,54,208
3,,5600,0,561,success,3,55,208
2,,3985.558674,619,0,gamble,2,56,208
31,,3093.988179,907,0,gamble,1,57,208
1,,3024.69211,579,0,gamble,1,58,208
34,,5600,575,0,gamble,4,59,208
31,,4854.900257,917,0,gamble,1,60,208
26,,5600,0,513,success,6,61,208
3,,889.0008359,642,0,gamble,3,62,208
5,,5600,0,462,success,5,63,208
3,,5600,0,585,success,3,64,208
25,,4915.467753,0,514,success,5,65,208
34,,5600,670,0,gamble,4,66,208
